from,to,flow,cost
896,3099,2.0,7.0
897,639,2.0,7.0
898,899,4.0,19.0
899,98,1.0,180.0
899,897,1.0,74.0
899,900,2.0,20.0
899,905,1.0,90.0
899,1536,1.0,40.0
899,1611,1.0,121.0
899,2260,2.0,14.0
899,2346,1.0,91.0
899,2681,1.0,62.0
899,2862,2.0,40.0
899,2892,1.0,154.0
899,3118,1.0,35.0
899,3576,1.0,132.0
899,3931,1.0,31.0
899,3932,1.0,37.0
899,4123,1.0,82.0
899,4426,1.0,49.0
900,908,4.0,28.0
903,1526,1.0,29.0
905,903,1.0,42.0
905,1690,1.0,7.0
907,2262,1.0,14.0
907,2681,1.0,48.0
907,2748,1.0,113.0
907,3679,1.0,112.0
907,3682,1.0,55.0
907,4312,1.0,127.0
908,907,1.0,34.0
908,2263,1.0,27.0
908,2264,1.0,42.0
908,3103,1.0,7.0
914,591,1.0,6.0
917,1515,1.0,27.0
921,1705,1.0,35.0
922,403,1.0,13.0
923,57,1.0,104.0
925,57,1.0,105.0
926,3363,2.0,18.0
929,981,1.0,63.0
929,1702,1.0,61.0
929,2924,1.0,82.0
930,2929,1.0,38.0
931,930,1.0,18.0
934,574,1.0,40.0
934,1642,1.0,32.0
938,1675,1.0,43.0
943,3949,1.0,18.0
951,2927,1.0,22.0
952,1752,1.0,29.0
953,2902,1.0,34.0
954,4110,1.0,35.0
955,2902,1.0,176.0
956,955,1.0,6.0
956,1590,1.0,2.0
956,1888,1.0,53.0
957,2996,1.0,118.0
958,3075,1.0,137.0
959,1752,1.0,118.0
959,1888,1.0,74.0
960,959,1.0,6.0
960,1888,1.0,80.0
961,960,1.0,14.0
962,960,1.0,21.0
963,2902,1.0,92.0
965,929,1.0,97.0
975,221,1.0,94.0
975,836,1.0,69.0
975,1366,2.0,12.0
975,1367,1.0,19.0
975,2428,1.0,57.0
975,2539,1.0,68.0
975,3425,1.0,36.0
978,2208,1.0,9.0
981,1718,2.0,32.0
984,981,1.0,24.0
984,4416,2.0,9.0
985,1344,1.0,6.0
987,4351,1.0,63.0
988,3169,2.0,17.0
988,4351,1.0,78.0
989,2493,2.0,9.0
993,995,1.0,42.0
993,2358,4.0,29.0
993,2557,1.0,21.0
993,2640,1.0,58.0
995,2245,1.0,54.0
996,2248,1.0,27.0
997,2474,1.0,80.0
998,2968,1.0,14.0
1000,157,1.0,7.0
1000,2377,1.0,42.0
1002,2309,1.0,7.0
1004,416,1.0,37.0
1005,715,2.0,28.0
1005,2332,6.0,7.0
1005,2562,3.0,35.0
1006,353,1.0,14.0
1007,1392,3.0,42.0
1007,1394,1.0,65.0
1009,1681,1.0,101.0
1009,2813,3.0,28.0
1010,3003,1.0,15.0
1010,3265,2.0,39.0
1011,103,1.0,49.0
1015,709,1.0,42.0
1015,1179,1.0,35.0
1015,2336,3.0,7.0
1015,2374,2.0,28.0
1015,2559,3.0,21.0
1017,710,1.0,81.0
1032,722,1.0,50.0
1032,723,4.0,27.0
1032,881,7.0,7.0
1032,1037,1.0,74.0
1032,2088,1.0,15.0
1032,2259,1.0,82.0
1032,2563,1.0,50.0
1032,2564,1.0,36.0
1032,2568,1.0,36.0
1032,2679,1.0,78.0
1032,3676,1.0,60.0
1032,4057,1.0,95.0
1033,637,1.0,44.0
1033,1032,1.0,13.0
1033,1533,2.0,29.0
1033,2565,1.0,41.0
1033,2566,2.0,8.0
1033,2567,1.0,15.0
1033,3677,1.0,12.0
1033,3681,1.0,64.0
1033,4377,1.0,43.0
1034,3677,1.0,1.0
1035,897,1.0,77.0
1035,1034,1.0,13.0
1035,2345,1.0,7.0
1035,2677,1.0,41.0
1035,2747,1.0,28.0
1035,3680,1.0,22.0
1035,4312,1.0,15.0
1035,4427,1.0,35.0
1035,4470,1.0,14.0
1036,82,1.0,26.0
1036,1035,2.0,13.0
1036,1536,1.0,29.0
1036,2258,1.0,27.0
1036,2346,1.0,34.0
1036,3116,1.0,62.0
1036,4370,1.0,66.0
1036,4371,1.0,83.0
1036,4469,1.0,35.0
1037,82,3.0,6.0
1037,1036,2.0,19.0
1037,2255,1.0,36.0
1037,2750,1.0,58.0
1037,2860,1.0,26.0
1038,282,1.0,44.0
1045,1407,1.0,30.0
1049,602,1.0,48.0
1049,1051,1.0,15.0
1049,2006,1.0,41.0
1049,2725,1.0,22.0
1049,4076,1.0,68.0
1049,4545,1.0,7.0
1051,2767,1.0,30.0
1059,1060,1.0,7.0
1059,1167,1.0,74.0
1060,1061,1.0,7.0
1061,461,1.0,62.0
1061,1220,1.0,46.0
1065,2769,1.0,40.0
1066,1065,1.0,22.0
1086,1087,1.0,7.0
1087,71,1.0,32.0
1087,1088,1.0,7.0
1088,2211,1.0,69.0
1090,319,1.0,8.0
1090,2410,1.0,122.0
1099,2326,1.0,31.0
1106,1110,1.0,1.0
1106,1111,1.0,18.0
1110,2368,1.0,78.0
1111,4388,1.0,121.0
1114,828,1.0,19.0
1115,1515,1.0,50.0
1120,538,1.0,120.0
1122,3872,5.0,6.0
1123,215,1.0,159.0
1123,1115,1.0,3.0
1125,591,1.0,115.0
1125,2838,1.0,20.0
1127,329,1.0,113.0
1130,57,1.0,48.0
1133,1134,1.0,15.0
1133,3126,1.0,158.0
1134,2787,1.0,6.0
1135,1136,1.0,4.0
1136,99,2.0,25.0
1138,2891,1.0,19.0
1145,1436,1.0,29.0
1147,208,2.0,7.0
1148,16,1.0,14.0
1148,1666,1.0,56.0
1149,4490,1.0,54.0
1152,2074,1.0,4.0
1153,1888,1.0,92.0
1153,2922,1.0,6.0
1154,387,1.0,20.0
1154,1155,1.0,27.0
1155,400,1.0,130.0
1155,2328,1.0,119.0
1158,344,1.0,53.0
1158,703,1.0,35.0
1158,1286,1.0,21.0
1158,2665,1.0,49.0
1159,700,1.0,53.0
1160,1286,1.0,95.0
1161,1158,1.0,102.0
1161,1382,1.0,54.0
1161,4259,1.0,7.0
1167,1786,1.0,55.0
1167,4087,1.0,8.0
1167,4092,1.0,1.0
1168,1966,1.0,9.0
1177,1348,2.0,16.0
1178,1015,1.0,7.0
1179,2248,1.0,91.0
1179,2560,1.0,7.0
1180,2781,1.0,48.0
1180,3667,1.0,5.0
1181,1182,1.0,14.0
1181,2375,1.0,7.0
1182,1183,1.0,19.0
1183,2251,3.0,7.0
1183,2336,1.0,91.0
1183,2376,1.0,26.0
1183,2519,1.0,97.0
1183,2621,1.0,118.0
1183,2665,1.0,98.0
1184,2248,1.0,62.0
1184,4403,2.0,21.0
1187,1781,1.0,32.0
1192,4078,1.0,36.0
1197,4043,1.0,103.0
1199,790,1.0,33.0
1202,1762,1.0,7.0
1202,2165,1.0,28.0
1203,1763,1.0,7.0
1209,2276,5.0,14.0
1210,1209,1.0,20.0
1212,2357,2.0,6.0
1214,2656,1.0,71.0
1215,2328,1.0,73.0
1217,1212,1.0,109.0
