passenger,line,mod_cost
1203,468,55.0
1204,871,95.0
1205,586,58.0
1206,486,97.0
1207,369,67.0
1208,200,5.0
1209,555,39.0
1210,454,21.0
1211,319,22.0
1212,5,58.0
1213,239,28.0
1214,304,189.0
1215,434,22.0
1216,180,90.0
1217,619,52.0
1218,355,84.0
1219,521,28.0
1220,319,64.0
1221,746,36.0
1222,886,63.0
1223,695,34.0
1224,598,90.0
1225,470,47.0
1226,799,51.0
1227,no_MT,64.0
1228,13,59.0
1229,474,11.0
1230,726,94.0
1231,505,79.0
1232,187,55.0
1233,719,83.0
1234,228,45.0
1235,483,48.0
1236,150,62.0
1237,415,81.0
1238,548,86.0
1239,294,87.0
1240,300,28.0
1241,250,56.0
1242,773,72.0
1243,324,76.0
1244,384,39.0
1245,81,73.0
1246,765,78.0
1247,369,61.0
1248,40,98.0
1249,751,48.0
1250,903,17.0
1251,982,44.0
1252,680,71.0
1253,802,2.0
1254,453,26.0
1255,656,61.0
1256,no_MT,56.0
1257,311,58.0
1258,672,79.0
1259,969,15.0
1260,866,51.0
1261,422,70.0
1262,984,59.0
1263,779,53.0
1264,244,113.0
1265,394,49.0
1266,64,24.0
1267,896,127.0
1268,669,71.0
1269,955,50.0
1270,669,75.0
1271,491,66.0
1272,531,86.0
1273,761,50.0
1274,833,126.0
1275,no_MT,0.0
1276,315,74.0
1277,28,45.0
1278,no_MT,24.0
1279,81,8.0
1280,6,101.0
1281,809,151.0
1282,706,98.0
1283,220,55.0
1284,no_MT,90.0
1285,150,37.0
1286,581,7.0
1287,128,26.0
1288,636,84.0
1289,830,56.0
1290,123,34.0
1291,53,93.0
1292,no_MT,24.0
1293,9,133.0
1294,808,85.0
1295,982,29.0
1296,589,104.0
1297,559,22.0
1298,779,73.0
1299,949,58.0
1300,711,41.0
1301,853,49.0
1302,561,65.0
1303,317,40.0
1304,977,95.0
1305,204,45.0
1306,421,96.0
1307,254,44.0
1308,728,46.0
1309,965,66.0
1310,450,16.0
1311,532,41.0
1312,695,36.0
1313,493,46.0
1314,593,37.0
1315,603,58.0
1316,130,78.0
1317,876,54.0
1318,568,78.0
1319,192,36.0
1320,765,44.0
1321,672,36.0
1322,494,50.0
1323,182,41.0
1324,833,64.0
1325,36,57.0
1326,211,63.0
1327,665,69.0
1328,856,92.0
1329,871,73.0
1330,802,51.0
1331,934,63.0
1332,748,62.0
1333,164,21.0
1334,426,42.0
1335,220,48.0
1336,996,67.0
1337,614,77.0
1338,87,74.0
1339,9,164.0
1340,238,51.0
1341,965,66.0
1342,809,14.0
1343,606,69.0
1344,898,54.0
1345,553,22.0
1346,530,41.0
1347,975,58.0
1348,276,61.0
1349,402,95.0
1350,212,51.0
1351,955,50.0
1352,53,74.0
1353,949,102.0
1354,258,81.0
1355,220,66.0
1356,489,49.0
1357,790,56.0
1358,453,78.0
1359,490,118.0
1360,872,38.0
1361,77,77.0
1362,760,55.0
1363,810,39.0
1364,126,43.0
1365,598,40.0
1366,386,36.0
1367,790,98.0
1368,565,40.0
1369,525,37.0
1370,355,103.0
1371,742,15.0
1372,973,80.0
1373,704,109.0
1374,28,50.0
1375,582,74.0
1376,553,99.0
1377,962,68.0
1378,943,37.0
1379,956,59.0
1380,595,101.0
1381,820,14.0
1382,876,45.0
1383,223,93.0
1384,386,45.0
1385,876,55.0
1386,387,90.0
1387,261,70.0
1388,no_MT,67.0
1389,483,84.0
1390,445,60.0
1391,503,154.0
1392,166,82.0
1393,492,75.0
1394,188,76.0
1395,673,97.0
1396,252,123.0
1397,731,42.0
1398,188,111.0
1399,216,28.0
1400,293,60.0
1401,870,36.0
1402,32,66.0
1403,553,34.0
1404,936,63.0
1405,319,57.0
1406,779,1.0
1407,468,81.0
1408,251,84.0
1409,529,22.0
1410,232,18.0
1411,175,148.0
1412,233,50.0
1413,836,69.0
1414,986,120.0
1415,581,37.0
1416,652,110.0
1417,468,72.0
1418,118,35.0
1419,128,30.0
1420,896,114.0
1421,26,22.0
1422,559,80.0
1423,662,118.0
1424,670,42.0
1425,666,15.0
1426,492,17.0
1427,803,84.0
1428,782,100.0
1429,209,54.0
1430,742,26.0
1431,548,99.0
1432,306,63.0
1433,648,70.0
1434,699,63.0
1435,856,104.0
1436,424,87.0
1437,655,36.0
1438,888,49.0
1439,800,64.0
1440,787,77.0
1441,779,49.0
1442,660,27.0
1443,276,52.0
1444,963,35.0
1445,966,0.0
1446,37,27.0
1447,276,21.0
1448,501,58.0
1449,856,155.0
1450,941,67.0
1451,19,111.0
1452,12,14.0
1453,40,0.0
1454,680,57.0
1455,699,55.0
1456,859,45.0
1457,501,14.0
1458,361,61.0
1459,164,67.0
1460,614,106.0
1461,561,126.0
1462,548,66.0
1463,212,77.0
1464,299,76.0
1465,483,14.0
1466,561,31.0
1467,549,53.0
1468,731,41.0
1469,657,37.0
1470,126,45.0
1471,924,77.0
1472,900,23.0
1473,665,69.0
1474,706,55.0
1475,724,34.0
1476,410,14.0
1477,652,57.0
1478,923,21.0
1479,442,59.0
1480,649,45.0
1481,341,21.0
1482,779,24.0
1483,220,61.0
1484,409,108.0
1485,741,101.0
1486,35,25.0
1487,783,25.0
1488,213,100.0
1489,898,105.0
1490,40,161.0
1491,30,86.0
1492,808,20.0
1493,883,83.0
1494,803,86.0
1495,154,74.0
1496,97,82.0
1497,851,59.0
1498,324,44.0
1499,316,53.0
1500,253,15.0
1501,808,117.0
1502,499,61.0
1503,673,100.0
1504,636,54.0
1505,312,78.0
1506,402,64.0
1507,614,180.0
1508,no_MT,106.0
1509,711,21.0
1510,106,65.0
